_id,regionId,regionName,date,bedReservedOxygen,bedUsedOxygen,bedUsedConfirmedOxygen,bedUsedSuspiciousOxygen,url,bedReservedReanimation,bedUsedReanimation,bedUsedConfirmedReanimation,bedUsedSuspiciousReanimation,bedReservedChildren,bedUsedChildren,bedUsedConfirmedChildren,bedUsedSuspiciousChildren,bedReservedMaternity,bedUsedMaternity,bedUsedConfirmedMaternity,bedUsedSuspiciousMaternity,bedReservedTotal,bedReservedTotalCovid,bedReservedTotalOther,bedUsedTotalCovid,bedReservedOxigen,bedReservedOxigenCovid,bedReservedOxigenOther,bedUsedOxigenCovid,bedReservedReanimationCovid,bedReservedReanimationOther,bedUsedReanimationCovid,HospitalizedPerDay,RecoveredPerDay,usedIvm,usedEkmoCovid,usedEkmoSuspicious,vaccinationAstraZeneca1,vaccinationPfizer1,vaccinationSinovac1,vaccinationNovavax1,vaccinationAge18_20_1,vaccinationAge20_39_1,vaccinationAge40_49_1,vaccinationAge50_59_1,vaccinationAge60_69_1,vaccinationAge70_79_1,vaccinationAge80__1
607de70301199d2a103fb88e,false,Україна,2021-02-24,58901,14783,11837,2946,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=2&distributionBy=age&regionId=,5863,1816,1600,216,3275,624,165,459,1012,135,100,35,148636,68838,79798,21477,66127,58901,7226,14783,4592,1271,1816,2770,2306,733,14,5,159,0,0,null,0,53,56,31,19,0,0
607de70301199d2a103fb88f,105,Вінницька область,2021-02-25,2828,1111,717,394,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=105,251,115,93,22,70,64,36,28,60,17,6,11,4290,3100,1190,1692,3158,2828,330,1111,211,40,115,240,173,59,0,0,20,0,0,null,0,8,6,2,4,0,0
607de70301199d2a103fb890,107,Волинська область,2021-02-25,1476,337,291,46,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=107,203,54,45,9,46,7,1,6,35,3,1,2,4749,1569,3180,545,1814,1476,338,337,135,68,54,54,43,10,0,0,39,0,0,null,1,8,10,11,5,2,2
607de70301199d2a103fb891,112,Дніпропетровська область,2021-02-25,4030,709,541,168,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=112,321,123,101,22,235,59,3,56,30,0,0,0,9934,4813,5121,1216,4310,4030,280,709,234,87,123,172,118,32,0,0,60,0,0,null,0,5,42,8,5,0,0
607de70301199d2a103fb892,114,Донецька область,2021-02-25,3364,429,283,146,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=114,268,55,44,11,207,16,8,8,47,0,0,0,8777,3857,4920,622,3611,3364,247,429,208,60,55,72,102,20,0,0,60,0,0,null,0,25,18,8,9,0,0
607de70301199d2a103fb893,118,Житомирська область,2021-02-25,2374,862,692,170,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=118,266,76,69,7,127,10,6,4,30,4,4,0,5273,2701,2572,885,2754,2374,380,862,216,50,76,134,80,31,0,0,60,0,0,null,0,20,20,9,11,0,0
607de70301199d2a103fb894,121,Закарпатська область,2021-02-25,1479,811,766,45,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=121,201,108,101,7,41,9,8,1,31,11,11,0,5114,2145,2969,1522,1556,1479,77,811,141,60,108,164,127,23,1,0,10,0,0,null,0,5,3,2,0,0,0
607de70301199d2a103fb895,123,Запорізька область,2021-02-25,2357,336,260,76,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=123,440,51,48,3,170,22,2,20,67,0,0,0,8396,2881,5515,488,2894,2357,537,336,243,197,51,60,49,25,4,1,50,0,0,null,1,11,11,17,9,1,0
607de70301199d2a103fb896,126,Івано-Франківська область,2021-02-25,2891,1681,1470,211,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=126,234,172,153,19,155,66,33,33,103,47,32,15,6446,3847,2599,3009,3094,2891,203,1681,212,22,172,340,294,85,0,0,20,0,0,null,0,10,7,2,1,0,0
607de70301199d2a103fb897,132,Київська область,2021-02-25,2463,596,510,86,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=132,192,60,56,4,107,12,3,9,81,0,0,0,5532,2770,2762,727,2704,2463,241,596,182,10,60,105,61,12,0,0,30,0,0,null,0,8,6,14,0,2,0
