"CountryName";"CountryCode";"Date";"StringencyIndexForDisplay";"GovernmentResponseIndexForDisplay";"ContainmentHealthIndexForDisplay";"EconomicSupportIndexForDisplay"
"Ukraine";"UKR";"20210113";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210228";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210309";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210312";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210413";66.67;62.4;65.95;37.5
"Ukraine";"UKR";"20201121";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20201203";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20201128";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20201202";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20210126";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210210";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210220";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210320";62.04;60.63;63.93;37.5
"Ukraine";"UKR";"20201205";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20210203";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210216";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210319";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20201231";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210227";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210120";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210122";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210303";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210313";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210316";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210328";59.26;59.06;62.14;37.5
"Ukraine";"UKR";"20210408";66.67;62.4;65.95;37.5
"Ukraine";"UKR";"20210302";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210314";60.19;59.58;62.74;37.5
"Ukraine";"UKR";"20210327";59.26;59.06;62.14;37.5
"Ukraine";"UKR";"20201219";54.63;57.81;60.71;37.5
"Ukraine";"UKR";"20210109";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210111";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210123";63.89;60.42;63.69;37.5
"Ukraine";"UKR";"20210128";54.63;55.21;57.74;37.5
"Ukraine";"UKR";"20210317";60.19;59.58;62.74;37.5
